X,Y,LATITUDE,LONGITUDE,fid,barriere,druecker,elem_nr,gis_id,hmas,mas,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
392485.984995690,5820128.589999439,52.52064701,13.41539341,s_Mast_LSA.11281,,2,47550012_47550013.02,PK_16072014_02160,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.764643742350009,143.4984
392495.120995692,5820143.988999438,52.52078720,13.41552302,s_Mast_LSA.11287,,2,47550012_47550013.02,PK_16072014_02159,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.180469502684488,144.2309
392483.479995689,5820167.825999440,52.52099912,13.41534381,s_Mast_LSA.11351,,2,47550057_47550058.01,PK_16072014_02364,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,10.605409883837421,213.0879
392471.256995685,5820184.675999439,52.52114813,13.41515829,s_Mast_LSA.11354,,2,47550057_47550058.01,PK_16072014_02362,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.974876018724348,33.9251
392983.226681405,5820064.280700315,52.52016695,13.42273973,s_Mast_LSA.11403,,1,47550035_48550004.01,PK_16072014_04617,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,0.764286233260822,124.4427
392976.718995825,5820051.999999446,52.52005531,13.42264781,s_Mast_LSA.11403,,1,47550035_48550004.01,PK_16072014_04617,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.596850937830792,116.6654
390670.139995156,5819965.107999414,52.51881659,13.38869556,s_Mast_LSA.10212,,2,45540004_45540003.01,PK_16012014_00385,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.427460713194057,185.3672
390646.402995149,5819945.982999415,52.51863996,13.38835216,s_Mast_LSA.10203,,2,45540005_45540004.01,PK_16012014_00452,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.016686279600305,266.0874
390664.242995155,5819789.253999416,52.51723508,13.38866652,s_Mast_LSA.10198,,2,45540034_45540033.01,PK_16012014_01070,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.725900155960827,-5.0791
390779.476995190,5819956.528999417,52.51876142,13.39030910,s_Mast_LSA.10210,,2,45540004_45540003.01,PK_16012014_00387,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.541315254785980,237.0903
391025.936995266,5819779.939999421,52.51722382,13.39399775,s_Mast_LSA.10121,,2,45540049_46540045.01,PK_25022015_13204,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.389703732708362,265.6135
391024.643995267,5819791.713999419,52.51732937,13.39397484,s_Mast_LSA.10120,,2,45540049_46540045.01,PK_25022015_13205,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.447442567967084,84.868
391094.476995287,5819785.774999420,52.51728995,13.39500551,s_Mast_LSA.10202,,2,46540045_46540042.01,PK_16012014_04453,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.291051323599743,263.3545
391484.276995403,5819875.145999426,52.51817085,13.40071858,s_Mast_LSA.10255,,2,46540002_46540005.01,PK_16012014_04965,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.383603946611495,59.761
392643.729995736,5819845.920999439,52.51813783,13.41780867,s_Mast_LSA.11282,,2,47540018_47540019.01,PK_16072014_01900,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,3.951791172992762,165.0169
392662.037995740,5819847.599999439,52.51815653,13.41807783,s_Mast_LSA.11283,,2,47540019_47540052.01,PK_16072014_05605,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.231863961920524,65.9282
392665.055995742,5819828.964999443,52.51798966,13.41812831,s_Mast_LSA.11279,,2,47540019_47540020.01,PK_16072014_01934,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.319335092916960,167.6541
392636.716995734,5819819.543999439,52.51789941,13.41771387,s_Mast_LSA.11296,,2,47540026_47540019.01,PK_16072014_07557,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.584989585414873,241.5074
393282.699995909,5819878.455999449,52.51855571,13.42721134,s_Mast_LSA.11405,,1,48550004_48540026.01,PK_16072014_04781,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,9.219216227700148,-49.8885
393295.878995913,5819901.740999449,52.51876755,13.42739802,s_Mast_LSA.11406,,1,48550004_48540026.01,PK_16072014_04780,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,14.317322212931826,24.4705
393352.307495929,5819805.680599451,52.51791532,13.42826014,s_Mast_LSA.1680,2,1,48540047_48540027.01,Pk_13.04.2015_1680,635.0,3,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.277795109652429,220.0274
393337.160495924,5819811.580999449,52.51796538,13.42803510,s_Mast_LSA.1679,2,1,48540047_48540042.02,Pk_13.04.2015_1679,320.0,1,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.562476723741981,30.185
393424.754095947,5819877.767299451,52.51857732,13.42930429,s_Mast_LSA.1571,2,1,48540027_48540040.01,Pk_16.04.2015_1571,630.0,3,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.756273641584248,126.9331
393354.221695928,5819937.804299450,52.51910306,13.42824595,s_Mast_LSA.1572,2,1,48540040_48540026.01,Pk_13.04.2015_1572,630.0,3,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.427355493157334,45.7178
390365.754995064,5819577.683999413,52.51527383,13.38433921,s_Mast_LSA.10148,,2,45540046_45540050.01,PK_18102013_01013,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.088720240829365,265.0482
390478.585995098,5819771.691999416,52.51703998,13.38593736,s_Mast_LSA.10196,,1,45540058_45540033.01,PK_16012014_04653,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.180445641350546,83.8601
