X,Y,LATITUDE,LONGITUDE,fid,LIGHTSTYLE,ShortNumbe,OPERATOR,STATUS,DISTRICT,LOCATION,ROAD,EAST,NORTH,LUMINOUS,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
390656.8737,5819891.482,52.51815229,13.38852434,s_oeffbeleucht.93720,16228-2110307-00,307,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390656.8737,5819891.482,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,6.816819593,356.154
390668.7729,5819891.993,52.51815926,13.38869946,s_oeffbeleucht.93721,16228-2110306-00,306,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390668.7729,5819891.993,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,5.112409478,356.154
390706.7866,5819231.969,52.51223551,13.38947639,s_oeffbeleucht.93618,16228-2110136-00,136,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390706.7866,5819231.969,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.986338338,355.851
390719.5372,5819256.446,52.51245803,13.38965616,s_oeffbeleucht.93619,16228-2110137-00,137,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390719.5373,5819256.446,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,6.570632743,355.851
390705.1707,5819255.042,52.51244253,13.38944501,s_oeffbeleucht.93620,16228-2110138-00,138,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390705.1707,5819255.042,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.87290502,355.851
390717.6895,5819280,52.51266933,13.3896212,s_oeffbeleucht.93621,16228-2110139-00,139,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390717.6895,5819280,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,6.501650945,355.851
390703.6096,5819278.369,52.51265185,13.38941435,s_oeffbeleucht.93622,16228-2110140-00,140,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390703.6096,5819278.369,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.676745849,355.851
390715.8653,5819304.322,52.51288754,13.38958634,s_oeffbeleucht.93623,16228-2110141-00,141,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390715.8653,5819304.322,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,6.492076376,355.851
390701.5049,5819304.976,52.51289054,13.3893746,s_oeffbeleucht.93624,16228-2110142-00,142,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390701.5049,5819304.976,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.781564066,355.851
390713.941,5819330.633,52.5131236,13.38954935,s_oeffbeleucht.93625,16228-2110143-00,143,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390713.9411,5819330.633,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,6.528888219,355.851
390699.5619,5819329.145,52.51310734,13.38933804,s_oeffbeleucht.93626,16228-2110144-00,144,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390699.5619,5819329.145,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.930177175,355.851
390712.1471,5819353.861,52.51333198,13.38951529,s_oeffbeleucht.93627,16228-2110145-00,145,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390712.1471,5819353.861,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,6.471062489,355.851
390698.0331,5819352.071,52.51331306,13.38930798,s_oeffbeleucht.93628,16228-2110146-00,146,Electricity,Renovation (out of service),Mitte (REG A),Mitte,FriedrichstraÃŸe,390698.0331,5819352.071,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.755653962,355.8508
390710.3334,5819378.577,52.51355373,13.38948046,s_oeffbeleucht.93629,16228-2110147-00,147,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390710.3334,5819378.577,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,6.483463152,175.728
390696.2845,5819377.368,52.51354005,13.38927391,s_oeffbeleucht.93630,16228-2110148-00,148,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390696.2845,5819377.368,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.636128566,175.728
390708.4955,5819402.54,52.51376871,13.38944551,s_oeffbeleucht.93631,16228-2110149-00,149,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390708.4955,5819402.54,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,6.413118489,175.728
390189.4771,5819999.026,52.51902477,13.38160341,s_oeffbeleucht.94894,16249-2110036-00,36,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390189.4771,5819999.026,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,4.349323744,346.0853
390195.594,5820012.294,52.51914523,13.38168914,s_oeffbeleucht.94895,16249-2110037-00,37,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390195.5941,5820012.294,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,6.490322513,166.0996
390213.0206,5820007.086,52.51910194,13.38194758,s_oeffbeleucht.94896,16249-2110038-00,38,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390213.0206,5820007.086,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,3.723082197,343.7814
390233.1139,5820015.171,52.51917865,13.38224092,s_oeffbeleucht.94897,16249-2110040-00,40,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390233.1139,5820015.171,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,3.035430915,332.5502
390255.0924,5820023.853,52.51926109,13.38256184,s_oeffbeleucht.94898,16249-2110042-00,42,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390255.0924,5820023.853,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,3.687905027,335.6812
390275.8875,5820033.087,52.51934826,13.38286514,s_oeffbeleucht.94899,16249-2110044-00,44,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390275.8875,5820033.087,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,3.781161932,337.2699
390221.0908,5820021.425,52.51923243,13.38206173,s_oeffbeleucht.94909,16249-2110039-00,39,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390221.0908,5820021.425,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,7.452733016,155.7814
390239.1795,5820028.525,52.51929987,13.38232587,s_oeffbeleucht.94910,16249-2110041-00,41,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390239.1795,5820028.525,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,6.866933472,157.5356
390260.2773,5820038.113,52.51939029,13.38263351,s_oeffbeleucht.94911,16249-2110043-00,43,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390260.2773,5820038.113,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,7.340204248,152.7643
390284.5805,5820049.262,52.51949537,13.38298786,s_oeffbeleucht.94912,16249-2110045-00,45,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390284.5805,5820049.262,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,7.255239942,154.4792
390298.2992,5820043.678,52.51944795,13.38319181,s_oeffbeleucht.94913,16249-2110046-00,46,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390298.2992,5820043.678,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,3.663511227,335.7777
390306.139,5820058.676,52.51958431,13.38330235,s_oeffbeleucht.94914,16249-2110047-00,47,Electricity,In operation,Mitte (REG A),Mitte,Reichstagufer,390306.139,5820058.676,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,6.312296227,152.106
