X,Y,LATITUDE,LONGITUDE,name,altitude,BEARING,href,CityObjType,ELEVATION,LocalityName,ThoroughfareName,ThoroughfareNumber,function,measuredHeight,roofType
391213.5504,5820826.506,52.5266664,13.396419,DEB_LOD2_UUID_c0bbd841-cd1a-4da3-9876-52431d517a2f,35.5,358.7371751,29109/DEB_LOD2_UUID_c0bbd841-cd1a-4da3-9876-52431d517a2f.dae,Building,35.5,Berlin,Sophienstr.,6,1231,20.14,1000
391630.4434,5820271.908,52.5217655,13.4027425,DEB_741b7bee-5265-45,35.19,358.7364817,29331/DEB_741b7bee-5265-45.dae,Building,35.19,Berlin,Sophienstr.,6,2121,45.58367,1000
391644.5395,5821005.484,52.5283607,13.402711,DEB_LOD2_UUID_6e6d7855-ca19-4494-95e8-2914b671bbc7,36.32,358.7309695,29378/DEB_LOD2_UUID_6e6d7855-ca19-4494-95e8-2914b671bbc7.dae,Building,36.32,Berlin,Sophienstr.,6,2121,21.711,1000
391610.2939,5820320.492,52.5221981,13.4024298,DEB_3aa5089d-2cb6-49,35.31,358.7262543,29502/DEB_3aa5089d-2cb6-49.dae,Building,35.31,Berlin,Sophienstr.,6,2121,21.711,1000
391833.7402,5821264.947,52.53073,13.4054144,BLDG_0003000e0055b033,40.5600014,358.7336219,30293/BLDG_0003000e0055b033.dae,Building,40.56,Berlin,Lottumstr.,20,1301,22.80535,1000
391954.7318,5821291.719,52.5309946,13.4071886,BLDG_00030002006c7ade,42.2099991,358.7380266,30317/BLDG_00030002006c7ade.dae,Building,42.21,Berlin,Lottumstr.,10,1701,7.42867,1000
391953.3424,5821288.722,52.5309674,13.4071691,BLDG_00030009003abe77,42.0200005,358.7327772,30309/BLDG_00030009003abe77.dae,Building,42.02,Berlin,Bergstr.,16,1231,21.59145,1000
391812.9193,5821240.648,52.5305075,13.4051155,BLDG_0003000e0055b01f,40.5400009,358.7332514,30361/BLDG_0003000e0055b01f.dae,Building,40.54,Berlin,Zehdenicker Str.,6,1301,21.37427,1000
391895.0418,5821316.66,52.5312069,13.4063009,BLDG_00030009001f643e,41.6800003,358.7359299,30329/BLDG_00030009001f643e.dae,Building,41.68,Berlin,Choriner Str.,85,1231,23.70646,1000
391966.9988,5821218.729,52.5303411,13.4073931,BLDG_000300000012cf77,40.4199982,358.7474977,30389/BLDG_000300000012cf77.dae,Building,40.42,Berlin,Torstr.,180,1744,6.32828,1000
