X,Y,LATITUDE,LONGITUDE,fid,barriere,druecker,elem_nr,gis_id,hmas,mas,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
390774.133,5821410.806,52.53182936,13.3897524,s_Mast_LSA.11703,,2,45560039_45560011.01,PK_02102014_05004,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,7.277784099,235.4244
392740.4158,5821235.538,52.53064498,13.41878454,s_Mast_LSA.2526,1,2,47560031_47560030.02,Pk_2015-06-04_868,365,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.19342569,205.2903
392743.6176,5821241.483,52.53069904,13.4188298,s_Mast_LSA.3658,1,2,47560031_47560030.02,Pk_2015-04-30_2007,322,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,3.451812306,33.7048
392760.3824,5821245.674,52.53074,13.41907549,s_Mast_LSA.3657,1,2,47560030_47560009.02,Pk_2015-04-30_2006,367,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,3.298753377,293.2874
392767.884,5821241.509,52.53070405,13.41918738,s_Mast_LSA.9985,1,2,47560030_47560009.02,Pk_2015-04-28_8378,323,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,4.500816757,118.7353
392775.7181,5821237.246,52.53066729,13.4193042,s_Mast_LSA.10092,2,1,47560030_47560009.02,Pk_2015-04-28_8488,325,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,4.418054442,298.3665
393331.1102,5821313.271,52.53145953,13.42746399,s_Mast_LSA.6037,1,2,48560028_48560029.01,Pk_2015-06-04_4409,352,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,7.951104046,306.217
390964.26,5821001.864,52.52819245,13.39268833,s_Mast_LSA.11240,,1,45560019_46560013.01,PK_31072014_03511,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,9.958028262,342.8328
390932.114,5821011.517,52.52827276,13.3922115,s_Mast_LSA.11241,,1,45550015_45560019.02,PK_31072014_03809,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.806837171,166.2635
390944.476,5820989.385,52.52807634,13.39240091,s_Mast_LSA.11242,,1,45550040_45560019.02,PK_31072014_07462,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,7.485806598,69.2104
391277.979,5821135.446,52.52945559,13.39726723,s_Mast_LSA.11560,,2,46560007_46560004.01,PK_04082014_01662,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,10.16005057,158.9477
391297.715,5821144.235,52.52953852,13.39755517,s_Mast_LSA.11558,,2,46560004_46560010.01,PK_04082014_01544,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,3.324461542,247.5392
391310.111,5821124.479,52.52936345,13.39774429,s_Mast_LSA.11555,,2,46560004_46560010.01,PK_04082014_01545,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.326628804,358.8505
391293.139,5821118.679,52.52930794,13.3974961,s_Mast_LSA.11557,,2,46560004_46560005.01,PK_04082014_00030,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.595657655,84.4419
391557.368,5821181.597,52.52992602,13.40136905,s_Mast_LSA.11613,,2,46560010_46560051.02,PK_02102014_10148,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,10.79018519,47.9188
391553.2,5821180.897,52.5299189,13.40130786,s_Mast_LSA.11614,,2,46560009_46560010.01,PK_02102014_02991,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,9.32108897,245.7882
391565.183,5821178.466,52.52989944,13.40148523,s_Mast_LSA.11547,,2,46560010_46560025.01,PK_04082014_01293,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,10.36420599,1.0694
391579.107,5821174.028,52.52986233,13.40169186,s_Mast_LSA.11548,,2,46560010_46560025.01,PK_04082014_01292,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.164966918,177.8272
391579.934,5821153.689,52.52967971,13.40171068,s_Mast_LSA.11545,,2,46560010_46560025.01,PK_04082014_01295,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.531708376,178.1711
391582.052,5821144.598,52.52959844,13.40174486,s_Mast_LSA.11543,,2,46560010_46560025.01,PK_04082014_01296,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,3.725491582,358.1568
391578.521,5821138.445,52.52954244,13.40169483,s_Mast_LSA.11551,,2,46560010_46560049.01,PK_04082014_07738,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,6.637820751,251.7895
391567.28,5821136.111,52.52951923,13.40152995,s_Mast_LSA.11544,,2,46560010_46560049.01,PK_04082014_07739,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,4.744518389,65.3501
391553.651,5821133.523,52.52949326,13.40132997,s_Mast_LSA.11552,,2,46560010_46560049.01,PK_04082014_07737,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,4.009021789,62.4473
391534.496,5821151.209,52.52964838,13.40104194,s_Mast_LSA.11422,,2,46560004_46560010.01,PK_25022015_09822,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,4.584742626,340.7065
391530.806,5821160.887,52.52973462,13.40098441,s_Mast_LSA.11549,,2,46560004_46560010.01,PK_04082014_01548,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.775968336,157.8774
391840.783,5821109.454,52.52933404,13.4055688,s_Mast_LSA.11592,,2,46560025_46560024.01,PK_04082014_01044,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.727938737,19.4368
391844.304,5821119.961,52.52942916,13.40561726,s_Mast_LSA.11591,,1,46560025_46560024.01,PK_04082014_01045,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.354824939,197.5528
391846.692,5821128.332,52.52950486,13.40564973,s_Mast_LSA.11585,,2,46560025_46560024.01,PK_04082014_01047,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.629092766,14.5958
391849.97,5821138.387,52.52959587,13.40569476,s_Mast_LSA.11596,,2,46560025_46560024.01,PK_04082014_01043,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,4.956484332,191.4069
392093.369,5821059.581,52.52893593,13.40930694,s_Mast_LSA.11597,,2,47560002_47560001.02,PK_04082014_01884,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.025740969,200.44
392102.9924,5821060.82,52.52894898,13.40944834,s_Mast_LSA.4745,1,2,47560001_47560028.02,Pk_2015-05-03_3110,725,2,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.976500925,114.0653
392089.621,5821050.283,52.52885163,13.40925473,s_Mast_LSA.11594,,1,47560002_47560001.02,PK_04082014_01885,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.002761377,23.4755
392083.038,5821032.647,52.52869184,13.40916346,s_Mast_LSA.11590,,2,47560002_47560001.02,PK_04082014_01887,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,6.849760786,18.667
392085.255,5821027.334,52.52864453,13.40919785,s_Mast_LSA.11589,,2,47550018_47560001.02,PK_04082014_02448,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.994635021,117.2424
392118.634,5821050.574,52.52885999,13.40968215,s_Mast_LSA.11599,,1,47560001_47560041.01,PK_04082014_01908,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.623198422,201.4862
392121.211,5821037.614,52.52874404,13.40972433,s_Mast_LSA.11595,,1,47560001_47560041.01,PK_04082014_01909,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,6.00994656,14.209
392099.371,5821060.767,52.52894778,13.40939499,s_Mast_LSA.11598,,2,47560002_47560001.02,PK_04082014_01883,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.474067966,204.7921
